"FullName","Extension","Length","LastWriteTime"
"C:\Users\Pichau\Desktop\v1.0.33\.env",".env","541","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.33\.env.example",".example","492","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.33\.gitattributes",".gitattributes","42","18/10/2025 03:23:57"
"C:\Users\Pichau\Desktop\v1.0.33\.gitignore",".gitignore","337","18/10/2025 03:23:57"
"C:\Users\Pichau\Desktop\v1.0.33\.pre-commit-config.yaml",".yaml","1102","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.33\.ruff.toml",".toml","676","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.33\app_core.py",".py","10412","18/10/2025 03:23:43"
"C:\Users\Pichau\Desktop\v1.0.33\app_gui.py",".py","2281","18/10/2025 03:23:43"
"C:\Users\Pichau\Desktop\v1.0.33\app_status.py",".py","5689","18/10/2025 03:23:43"
"C:\Users\Pichau\Desktop\v1.0.33\app_utils.py",".py","3795","18/10/2025 03:23:43"
"C:\Users\Pichau\Desktop\v1.0.33\CHANGELOG.md",".md","3222","18/10/2025 06:13:44"
"C:\Users\Pichau\Desktop\v1.0.33\config.yml",".yml","108","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.33\pyproject.toml",".toml","535","18/10/2025 06:39:38"
"C:\Users\Pichau\Desktop\v1.0.33\pytest.ini",".ini","54","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.33\rc.ico",".ico","122078","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.33\rc.png",".png","32502","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.33\README.md",".md","2205","18/10/2025 06:13:44"
"C:\Users\Pichau\Desktop\v1.0.33\requirements-min.in",".in","1171","18/10/2025 06:46:42"
"C:\Users\Pichau\Desktop\v1.0.33\requirements-min.txt",".txt","2607","18/10/2025 06:46:37"
"C:\Users\Pichau\Desktop\v1.0.33\requirements.in",".in","871","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.33\requirements.txt",".txt","2605","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.33\run_dev.bat",".bat","153","18/10/2025 05:36:51"
