"FullName","Extension","Length","LastWriteTime"
"C:\Users\Pichau\Desktop\v1.0.34\.env",".env","541","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\.env.example",".example","492","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\.gitattributes",".gitattributes","42","18/10/2025 03:23:57"
"C:\Users\Pichau\Desktop\v1.0.34\.gitignore",".gitignore","369","18/10/2025 08:07:05"
"C:\Users\Pichau\Desktop\v1.0.34\.importlinter",".importlinter","475","18/10/2025 08:37:00"
"C:\Users\Pichau\Desktop\v1.0.34\.pre-commit-config.yaml",".yaml","1102","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\.ruff.toml",".toml","676","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\ajuda.zip",".zip","33477","18/10/2025 08:46:18"
"C:\Users\Pichau\Desktop\v1.0.34\app_core.py",".py","10412","18/10/2025 03:23:43"
"C:\Users\Pichau\Desktop\v1.0.34\app_gui.py",".py","2281","18/10/2025 03:23:43"
"C:\Users\Pichau\Desktop\v1.0.34\app_status.py",".py","5689","18/10/2025 03:23:43"
"C:\Users\Pichau\Desktop\v1.0.34\app_utils.py",".py","3795","18/10/2025 03:23:43"
"C:\Users\Pichau\Desktop\v1.0.34\CHANGELOG.md",".md","3222","18/10/2025 06:13:44"
"C:\Users\Pichau\Desktop\v1.0.34\config.yml",".yml","108","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\ENXUGAMENTO_V4_RELATORIO.txt",".txt","6162","18/10/2025 08:09:08"
"C:\Users\Pichau\Desktop\v1.0.34\pyproject.toml",".toml","518","18/10/2025 07:44:03"
"C:\Users\Pichau\Desktop\v1.0.34\pytest.ini",".ini","54","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\rc.ico",".ico","122078","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\README.md",".md","2205","18/10/2025 06:13:44"
"C:\Users\Pichau\Desktop\v1.0.34\RELATORIO_LIMPEZA_PROFUNDA.txt",".txt","9132","18/10/2025 08:02:50"
"C:\Users\Pichau\Desktop\v1.0.34\requirements-min.in",".in","1133","18/10/2025 07:44:03"
"C:\Users\Pichau\Desktop\v1.0.34\requirements-min.txt",".txt","2478","18/10/2025 07:44:03"
"C:\Users\Pichau\Desktop\v1.0.34\requirements.in",".in","871","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\requirements.txt",".txt","2605","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\run_dev.bat",".bat","145","18/10/2025 07:44:03"
"C:\Users\Pichau\Desktop\v1.0.34\SETUP_VENV.md",".md","1998","18/10/2025 08:02:50"
"C:\Users\Pichau\Desktop\v1.0.34\.git\COMMIT_EDITMSG","","1399","18/10/2025 08:08:26"
"C:\Users\Pichau\Desktop\v1.0.34\.git\config","","629","18/10/2025 03:24:19"
"C:\Users\Pichau\Desktop\v1.0.34\.git\description","","73","16/10/2025 09:44:00"
"C:\Users\Pichau\Desktop\v1.0.34\.git\FETCH_HEAD","","370","18/10/2025 03:23:23"
"C:\Users\Pichau\Desktop\v1.0.34\.git\HEAD","","34","18/10/2025 03:23:29"
"C:\Users\Pichau\Desktop\v1.0.34\.git\index","","21497","18/10/2025 08:08:25"
"C:\Users\Pichau\Desktop\v1.0.34\.git\ORIG_HEAD","","41","18/10/2025 06:13:44"
"C:\Users\Pichau\Desktop\v1.0.34\.git\hooks\applypatch-msg.sample",".sample","478","16/10/2025 09:44:00"
"C:\Users\Pichau\Desktop\v1.0.34\.git\hooks\commit-msg.sample",".sample","896","16/10/2025 09:44:00"
"C:\Users\Pichau\Desktop\v1.0.34\.git\hooks\fsmonitor-watchman.sample",".sample","4726","16/10/2025 09:44:00"
"C:\Users\Pichau\Desktop\v1.0.34\.git\hooks\post-checkout","","360","18/10/2025 03:10:13"
"C:\Users\Pichau\Desktop\v1.0.34\.git\hooks\post-commit","","356","18/10/2025 03:10:13"
"C:\Users\Pichau\Desktop\v1.0.34\.git\hooks\post-merge","","354","18/10/2025 03:10:13"
"C:\Users\Pichau\Desktop\v1.0.34\.git\hooks\post-update.sample",".sample","189","16/10/2025 09:44:00"
